"id","UniProt"
1188,"Q9H329"
1189,"Q66K89"
1190,"Q6ZTU2"
1191,"Q9HCS5"
1192,"Q9NR61"
1193,"Q92988"
1194,"Q9UGM3"
1195,"Q96PT4"
1196,"P54792"
1197,"O00148"
1198,"Q99848"
1199,"Q6P2I7"
1200,"Q9BY08"
1201,"P42892"
1202,"P0DPD6"
1203,"O95672"
1204,"P12724"
1205,"Q6P2E9"
1206,"A0A1B0GTR0"
1207,"Q9BV94"
1208,"Q9BZQ6"
1209,"O60869"
1210,"O43854"
1211,"P14138"
1212,"Q7L9B9"
1213,"Q3B7T1"
1214,"Q05639"
1215,"Q96MZ0"
1216,"Q99675"
1217,"Q8N9H6"
1218,"Q6P047"
1219,"O95992"
1220,"Q14839"
1221,"Q9H9P2"
1222,"Q8NFT8"
1223,"Q96M86"
1224,"Q96EY1"
1225,"Q8WW22"
1226,"P25685"
1227,"P61024"
1228,"Q8WZ79"
1229,"Q92874"
1230,"O96005"
1231,"P06340"
1232,"Q14183"
1233,"Q92608"
1234,"Q8N1I0"
1235,"Q9H7D0"
1236,"Q96HP0"
1237,"Q8NF50"
1238,"Q9BZ29"
1239,"Q9BU89"
1240,"Q99704"
1241,"O60496"
1242,"Q7L591"
1243,"Q8TEW6"
1244,"Q9P104"
1245,"Q6PKX4"
1246,"Q18PE1"
1247,"Q9UPQ8"
1248,"Q9NYP3"
1249,"Q5JWR5"
1250,"Q9Y3R5"
1251,"P30046"
1252,"P09172"
1253,"Q86YN1"
1254,"Q8TEK3"
1255,"Q1HG43"
1256,"Q1HG44"
1257,"Q9UKG1"
1258,"Q8NEU8"
1259,"A0A0U1RQF7"
1260,"P20036"
1261,"Q9H5Z1"
1262,"O75911"
1263,"Q9H2U1"
1264,"Q8IY37"
1265,"Q8IX18"
1266,"Q9UBX3"
1267,"Q14689"
1268,"Q9NXW2"
1269,"O94907"
1270,"Q9UBU2"
1271,"Q9UK85"
1272,"Q5HYR2"
1273,"Q09013"
1274,"Q15700"
1275,"O96015"
1276,"Q9NR33"
1277,"Q9UHN1"
1278,"P09884"
1279,"O75879"
1280,"P16520"
1281,"Q9HAV0"
1282,"Q8N1C3"
1283,"P18507"
1284,"P0CJ85"
1285,"Q13202"
1286,"Q9UNI6"
1287,"Q6ZN92"
1288,"Q8WTR2"
1289,"Q96PT3"
1290,"P30793"
1291,"O75603"
1292,"Q92616"
1293,"Q9BZD3"
1294,"Q9C0G6"
1295,"Q9H3P7"
1296,"Q14204"
1297,"Q8IVF4"
1298,"Q96DT5"
1299,"Q9P2D7"
1300,"Q9P225"
1301,"Q96FJ2"
1302,"P63172"
1303,"Q13627"
1304,"Q92538"
1305,"P32926"
1306,"P57055"
1307,"Q96T75"
1308,"P59020"
1309,"P34903"
1310,"Q8IZU8"
1311,"P48169"
1312,"O60469"
1313,"P31644"
1314,"O95166"
1315,"P18505"
1316,"P28472"
1317,"P0CJ89"
1318,"P0CJ90"
1319,"Q9BY60"
1320,"O00591"
1321,"Q4G0W2"
1322,"Q13115"
1323,"Q9UN88"
1324,"Q96G46"
1325,"P52951"
1326,"Q8IWJ2"
1327,"Q6RFH8"
1328,"A6NLW8"
1329,"O77932"
1330,"O14641"
1331,"Q30KR1"
1332,"Q7Z7B8"
1333,"Q13117"
1334,"Q9UK59"
