UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_ID
Q8BXN7	PPM1K	ENSMUSG00000037826	Ppm1k	DOID:9269
Q8BY35	FGD2	ENSMUSG00000024013	Fgd2	DOID:10595|DOID:6683
Q8BYA0	TBCD	ENSMUSG00000039230	Tbcd	DOID:1289
Q8BYH8	CHD9	ENSMUSG00000056608	Chd9	DOID:1682
Q8BYK4	RDH12	ENSMUSG00000021123	Rdh12	DOID:14791|DOID:705
Q8BYK6	YTHD3	ENSMUSG00000047213	Ythdf3	DOID:0014667
Q8BYM5	NLGN3	ENSMUSG00000031302	Nlgn3	DOID:11446|DOID:12849
Q8BYR2	LATS1	ENSMUSG00000040021	Lats1	DOID:0060072|DOID:1289|DOID:162|DOID:898
Q8BYY9	SPA3B	ENSMUSG00000066364	Serpina3b	DOID:11394|DOID:11949|DOID:1485|DOID:2945|DOID:3083|DOID:3910|DOID:865
Q8BZ00	SL9A9	ENSMUSG00000031129	Slc9a9	DOID:12849
Q8BZ21	KAT6A	ENSMUSG00000031540	Kat6a	DOID:11198|DOID:9119
Q8BZ39	NMUR2	ENSMUSG00000037393	Nmur2	DOID:9970
Q8BZF2	NIPA4	ENSMUSG00000020411	Nipal4	DOID:2476
Q8BZH0	S39AD	ENSMUSG00000002105	Slc39a13	DOID:13359
Q8BZH4	POGZ	ENSMUSG00000038902	Pogz	DOID:1059
Q8BZM1	GLMN	ENSMUSG00000029276	Glmn	DOID:11294
Q8BZP8	NPSR1	ENSMUSG00000043659	Npsr1	DOID:0050589|DOID:12716|DOID:2560|DOID:2841|DOID:7148
Q8BZQ7	ANC2	ENSMUSG00000026965	Anapc2	DOID:12449|DOID:1405|DOID:3910|DOID:9119
Q8BZT9	LACC1	ENSMUSG00000044350	Lacc1	DOID:676
Q8C078	KKCC2	ENSMUSG00000029471	Camkk2	DOID:3070
Q8C0D4	RHG12	ENSMUSG00000041225	Arhgap12	DOID:1574
Q8C0D7	ING4	ENSMUSG00000030330	Ing4	DOID:162
Q8C0E2	VP26B	ENSMUSG00000031988	Vps26b	DOID:1319
Q8C0I1	ADAS	ENSMUSG00000042410	Agps	DOID:2580
Q8C0P0	GWL	ENSMUSG00000026779	Mastl	DOID:1588
Q8C0S4	TT21A	ENSMUSG00000032514	Ttc21a	DOID:12712
Q8C0Y1	TGIF2	ENSMUSG00000062175	Tgif2	DOID:1240
Q8C110	SLIK6	ENSMUSG00000045871	Slitrk6	DOID:10003
Q8C129	LCAP	ENSMUSG00000023845	Lnpep	DOID:127|DOID:1612|DOID:4450|DOID:8488|DOID:9352
Q8C147	DOCK8	ENSMUSG00000052085	Dock8	DOID:9744
Q8C170	MYO9A	ENSMUSG00000039585	Myo9a	DOID:14159|DOID:3635
Q8C180	FRS2	ENSMUSG00000020170	Frs2	DOID:4450
Q8C181	MBNL2	ENSMUSG00000022139	Mbnl2	DOID:450
Q8C196	CPSM	ENSMUSG00000025991	Cps1	DOID:10763|DOID:13042|DOID:178|DOID:9280|DOID:9452|DOID:9970
Q8C1A3	MTRR	ENSMUSG00000034617	Mtrr	DOID:114|DOID:14330|DOID:1681|DOID:1793|DOID:3565|DOID:684|DOID:8577|DOID:9119|DOID:9263|DOID:9538|DOID:9952
Q8C1C1	SAPL1	ENSMUSG00000043430	Psapl1	DOID:3211|DOID:9455
Q8C1W1	VASH1	ENSMUSG00000021256	Vash1	DOID:10762|DOID:5082
Q8C1Y8	CCZ1	ENSMUSG00000029617	Ccz1	DOID:3753
Q8C1Z7	BBS4	ENSMUSG00000025235	Bbs4	DOID:11981|DOID:1935|DOID:9970
Q8C2B3	HDAC7	ENSMUSG00000022475	Hdac7	DOID:9256|DOID:986
Q8C2K1	DEFI6	ENSMUSG00000002257	Def6	DOID:9074
Q8C2S7	AMGO3	ENSMUSG00000032593	Amigo3	DOID:11446
Q8C3B8	RFT1	ENSMUSG00000052395	Rft1	DOID:162
Q8C3L1	SSUH2	NA	Ssuh2	DOID:701
Q8C3P7	MTA70	ENSMUSG00000022160	Mettl3	DOID:5223
Q8C3Q9	CASP9	ENSMUSG00000028914	Casp9	DOID:0060071|DOID:1002|DOID:10652|DOID:10763|DOID:11054|DOID:114|DOID:12858|DOID:12930|DOID:1312|DOID:14330|DOID:1612|DOID:1793|DOID:2055|DOID:224|DOID:2945|DOID:332|DOID:3525|DOID:3908|DOID:5199|DOID:557|DOID:684|DOID:83|DOID:8398|DOID:8947|DOID:9256|DOID:9352|DOID:9744
Q8C4N4	LAAT1	NA	Slc66a1	DOID:3211
Q8C4U3	SFRP1	ENSMUSG00000031548	Sfrp1	DOID:127|DOID:4450|DOID:8719
Q8C5U9	UBQL3	ENSMUSG00000051618	Ubqln3	DOID:1289|DOID:332|DOID:9255
Q8C5Z3	Q8C5Z3	ENSMUSG00000023165	Ssxb2	DOID:5485
Q8C636	SPT16	ENSMUSG00000039335	Spata16	DOID:12336
Q8C6B2	RTKN	ENSMUSG00000034930	Rtkn	DOID:684
Q8C6E1	Q8C6E1	ENSMUSG00000044309	Apol7c	DOID:1312|DOID:5419
Q8C6P5	Q8C6P5	NA	Dnaaf6b	DOID:9562
Q8C767	PPR3B	ENSMUSG00000046794	Ppp1r3b	DOID:1574
Q8C7G5	APOA5	ENSMUSG00000032079	Apoa5	DOID:1171|DOID:1172|DOID:1459|DOID:3393|DOID:3526|DOID:9352
Q8C7H1	MMAA	ENSMUSG00000037022	Mmaa	DOID:14749
Q8C7I4	Q8C7I4	ENSMUSG00000068246	Apol9b	DOID:557
Q8C7N7	APH1B	ENSMUSG00000032375	Aph1b	DOID:3393
Q8C8R3	ANK2	ENSMUSG00000032826	Ank2	DOID:0060224|DOID:1059|DOID:10652|DOID:13884|DOID:2843
Q8C8T7	ELFN1	ENSMUSG00000048988	Elfn1	DOID:5419
Q8C996	TM163	ENSMUSG00000026347	Tmem163	DOID:576
Q8C9B9	DIDO1	ENSMUSG00000038914	Dido1	DOID:4972
Q8C9J3	SPEF2	ENSMUSG00000072663	Spef2	DOID:9562
Q8C9W3	ATS2	ENSMUSG00000036545	Adamts2	DOID:13359
Q8CAE3	KCMB1	ENSMUSG00000020155	Kcnmb1	DOID:10763|DOID:9352
Q8CAY6	THIC	ENSMUSG00000023832	Acat2	DOID:10787|DOID:3393
Q8CBB9	RSAD2	ENSMUSG00000020641	Rsad2	DOID:1273
Q8CBC6	LRRN3	ENSMUSG00000036295	Lrrn3	DOID:5419
Q8CBD1	NRIP1	ENSMUSG00000048490	Nrip1	DOID:11476
Q8CC12	CDAN1	ENSMUSG00000027284	Cdan1	DOID:1338
Q8CC27	CACB2	ENSMUSG00000057914	Cacnb2	DOID:10763|DOID:11984
Q8CC36	CDNF	ENSMUSG00000039496	Cdnf	DOID:1289
Q8CCA5	Q8CCA5	ENSMUSG00000050982	Apol10a	DOID:1312|DOID:5419
Q8CCF0	PRP31	ENSMUSG00000008373	Prpf31	DOID:10584
Q8CCH7	FOG2	ENSMUSG00000022306	Zfpm2	DOID:3827|DOID:6419
Q8CCN5	BCAS3	ENSMUSG00000059439	Bcas3	DOID:1612
Q8CCS6	PABP2	ENSMUSG00000022194	Pabpn1	DOID:11719
Q8CDC8	Q8CDC8	ENSMUSG00000050035	Fhl4	DOID:11984|DOID:423
Q8CE08	PPAP	NA	Acp3	DOID:10283
Q8CE46	PUS7L	ENSMUSG00000033356	Pus7l	DOID:1059|DOID:10907
Q8CE90	MP2K7	ENSMUSG00000002948	Map2k7	DOID:5419
Q8CEE7	RDH13	ENSMUSG00000008435	Rdh13	DOID:14791
Q8CEG5	CC28B	ENSMUSG00000028795	Ccdc28b	DOID:1935
Q8CF90	MAFA	ENSMUSG00000047591	Mafa	DOID:9351|DOID:9352
Q8CFA2	GCST	ENSMUSG00000032607	Amt	DOID:9268
Q8CFC4	BGAT2	ENSRNOG00000045801	Abo2	DOID:0080600|DOID:10763|DOID:1240|DOID:1496|DOID:1793|DOID:2237|DOID:2841|DOID:2945|DOID:4948|DOID:583|DOID:9952
Q8CFC9	LZTS1	ENSRNOG00000011826	Lzts1	DOID:1749|DOID:5041
Q8CFD5	ERCC8	ENSMUSG00000021694	Ercc8	DOID:2962
Q8CFD9	NCTR3	ENSRNOG00000000854	Ncr3	DOID:12365
Q8CFE6	S38A2	ENSMUSG00000022462	Slc38a2	DOID:11832
Q8CFG6	CA2D2	ENSRNOG00000015835	Cacna2d2	DOID:1826|DOID:1827
Q8CFG8	CS1B	NA	C1sb	DOID:13359
Q8CFG9	C1RB	ENSMUSG00000098470	C1rb	DOID:13359
Q8CFN2	CDC42	ENSRNOG00000013536	Cdc42	DOID:10652|DOID:1793|DOID:3312|DOID:3328|DOID:3355|DOID:4483|DOID:557
Q8CFN5	MEF2C	ENSMUSG00000005583	Mef2c	DOID:1059|DOID:1824|DOID:5844
Q8CFV9	RIFK	ENSMUSG00000024712	Rfk	DOID:162
Q8CFW7	C2D2A	ENSMUSG00000039765	Cc2d2a	DOID:1059
Q8CFX1	G6PE	ENSMUSG00000028980	H6pd	DOID:2377|DOID:2861
Q8CFY5	COX10	ENSMUSG00000042148	Cox10	DOID:14330|DOID:3652|DOID:3762|DOID:699
Q8CFZ4	GPC3	ENSMUSG00000055653	Gpc3	DOID:2154|DOID:684
Q8CFZ5	S22AC	ENSMUSG00000061742	Slc22a12	DOID:9351
Q8CG03	PDE5A	ENSMUSG00000053965	Pde5a	DOID:10591|DOID:12236|DOID:1875|DOID:2986|DOID:5844|DOID:6432
Q8CG08	CTHR1	ENSRNOG00000004578	Cthrc1	DOID:9206
Q8CG09	MRP1	ENSRNOG00000022305	Abcc1	DOID:3083
Q8CG14	CS1A	NA	C1sa	DOID:13359
Q8CG16	C1RA	ENSMUSG00000055172	C1ra	DOID:13359
Q8CG19	LTBP1	ENSMUSG00000001870	Ltbp1	DOID:224|DOID:2921
Q8CG45	ARK72	ENSRNOG00000017780	Akr7a2	DOID:10652|DOID:3498
Q8CG64	FKRP	ENSMUSG00000048920	Fkrp	DOID:11724|DOID:12930|DOID:9884
Q8CG73	FTM	ENSMUSG00000033282	Rpgrip1l	DOID:0050753|DOID:1059|DOID:12712|DOID:2975|DOID:8725
Q8CG76	ARK72	NA	Akr7a2	DOID:10652|DOID:3498
Q8CGB3	UACA	ENSMUSG00000034485	Uaca	DOID:684
Q8CGK3	LONM	ENSMUSG00000041168	Lonp1	DOID:2316|DOID:326
Q8CGK6	IFNL3	ENSMUSG00000060747	Ifnl3	DOID:1588|DOID:1883|DOID:5082
Q8CGL2	NTAL	ENSRNOG00000021856	Lat2	DOID:1928
Q8CGM2	RP1L1	ENSMUSG00000046049	Rp1l1	DOID:10584
Q8CGN5	PLIN1	ENSMUSG00000030546	Plin1	DOID:9970
Q8CGR6	Q8CGR6	ENSMUSG00000054046	Klk13	DOID:10283|DOID:4001
Q8CGS5	RNZ2	ENSRNOG00000003424	Elac2	DOID:10283
Q8CGU4	AGAP2	ENSRNOG00000025584	Agap2	DOID:10283
Q8CGU6	NICA	ENSRNOG00000005355	Ncstn	DOID:10652|DOID:11054|DOID:2280|DOID:5419|DOID:8552
Q8CGU9	TPH2	ENSRNOG00000003880	Tph2	DOID:1094|DOID:12849|DOID:1470|DOID:1595|DOID:3312|DOID:594
Q8CGV2	TPH2	ENSMUSG00000006764	Tph2	DOID:1094|DOID:12849|DOID:1470|DOID:1595|DOID:3312|DOID:594
Q8CGY8	OGT1	ENSMUSG00000034160	Ogt	DOID:1712|DOID:6000|DOID:9352
Q8CGZ9	PR7B1	ENSMUSG00000021347	Prl7b1	DOID:2945|DOID:3407|DOID:9970|DOID:9993
Q8CH27	RCAN2	ENSRNOG00000010350	Rcan2	DOID:14250
Q8CH33	Q8CH33	ENSRNOG00000006311	Ccr9	DOID:2841
Q8CH72	TRI32	ENSMUSG00000051675	Trim32	DOID:1935|DOID:9884
Q8CH92	Q8CH92	ENSRNOG00000059362	Has3	DOID:6432
Q8CH93	Q8CH93	ENSRNOG00000010994	Has1	DOID:6432
Q8CHC4	SYNJ1	ENSMUSG00000022973	Synj1	DOID:14250|DOID:14330
Q8CHE4	PHLP1	ENSMUSG00000044340	Phlpp1	DOID:10283
Q8CHI5	PER1	ENSRNOG00000007387	Per1	DOID:1094
Q8CHJ4	Q8CHJ4	ENSRNOG00000004339	Yy1	DOID:4769|DOID:6000|DOID:9744
