id	name
A0A0G2JZF6	A0A0G2JZF6
A0A0G2JZG8	A0A0G2JZG8
A0A0G2JZH0	A0A0G2JZH0
A0A0G2JZH4	A0A0G2JZH4
A0A0G2JZI2	A0A0G2JZI2
A0A0G2JZJ3	A0A0G2JZJ3
A0A0G2JZL2	A0A0G2JZL2
A0A0G2JZL6	A0A0G2JZL6
A0A0G2JZP7	A0A0G2JZP7
A0A0G2JZS3	A0A0G2JZS3
A0A0G2JZU6	A0A0G2JZU6
A0A0G2JZU8	A0A0G2JZU8
A0A0G2JZW4	A0A0G2JZW4
A0A0G2JZX5	A0A0G2JZX5
A0A0G2JZY3	A0A0G2JZY3
A0A0G2JZZ5	A0A0G2JZZ5
A0A0G2K001	A0A0G2K001
A0A0G2K014	A0A0G2K014
A0A0G2K046	A0A0G2K046
A0A0G2K098	A0A0G2K098
A0A0G2K0D3	LMOD1
A0A0G2K0H3	A0A0G2K0H3
A0A0G2K0J4	A0A0G2K0J4
A0A0G2K0K3	A0A0G2K0K3
A0A0G2K0V6	A0A0G2K0V6
A0A0G2K0Y2	A0A0G2K0Y2
A0A0G2K134	A0A0G2K134
A0A0G2K142	A0A0G2K142
A0A0G2K149	A0A0G2K149
A0A0G2K161	A0A0G2K161
A0A0G2K171	A0A0G2K171
A0A0G2K1A2	A0A0G2K1A2
A0A0G2K1B6	A0A0G2K1B6
A0A0G2K1E3	A0A0G2K1E3
A0A0G2K1F7	A0A0G2K1F7
A0A0G2K1G8	A0A0G2K1G8
A0A0G2K1K5	A0A0G2K1K5
A0A0G2K1L0	A0A0G2K1L0
A0A0G2K1L6	A0A0G2K1L6
A0A0G2K1M7	A0A0G2K1M7
A0A0G2K1P1	A0A0G2K1P1
A0A0G2K1P8	A0A0G2K1P8
A0A0G2K1Q8	ABCA3
A0A0G2K1R4	A0A0G2K1R4
A0A0G2K1S9	A0A0G2K1S9
A0A0G2K1T7	A0A0G2K1T7
A0A0G2K1V3	A0A0G2K1V3
A0A0G2K1V7	A0A0G2K1V7
A0A0G2K1X3	A0A0G2K1X3
A0A0G2K1Z1	A0A0G2K1Z1
A0A0G2K210	A0A0G2K210
A0A0G2K229	A0A0G2K229
A0A0G2K250	A0A0G2K250
A0A0G2K294	A0A0G2K294
A0A0G2K2A4	A0A0G2K2A4
A0A0G2K2B5	A0A0G2K2B5
A0A0G2K2C0	A0A0G2K2C0
A0A0G2K2F0	A0A0G2K2F0
A0A0G2K2H4	A0A0G2K2H4
A0A0G2K2I0	A0A0G2K2I0
A0A0G2K2M9	A0A0G2K2M9
A0A0G2K2N3	A0A0G2K2N3
A0A0G2K2P5	ZO1
A0A0G2K2Q8	A0A0G2K2Q8
A0A0G2K2R5	A0A0G2K2R5
A0A0G2K2U9	A0A0G2K2U9
A0A0G2K2Y2	A0A0G2K2Y2
A0A0G2K309	ORNT1
A0A0G2K344	PK3CA
A0A0G2K358	A0A0G2K358
A0A0G2K3A4	A0A0G2K3A4
A0A0G2K3B7	A0A0G2K3B7
A0A0G2K3H2	A0A0G2K3H2
A0A0G2K3H5	A0A0G2K3H5
A0A0G2K3H7	A0A0G2K3H7
A0A0G2K3K5	A0A0G2K3K5
A0A0G2K3P6	A0A0G2K3P6
A0A0G2K3R5	A0A0G2K3R5
A0A0G2K3S9	A0A0G2K3S9
A0A0G2K3V6	A0A0G2K3V6
A0A0G2K3Y6	A0A0G2K3Y6
A0A0G2K426	A0A0G2K426
A0A0G2K427	A0A0G2K427
A0A0G2K430	A0A0G2K430
A0A0G2K449	A0A0G2K449
A0A0G2K470	A0A0G2K470
A0A0G2K475	A0A0G2K475
A0A0G2K490	A0A0G2K490
A0A0G2K4A8	A0A0G2K4A8
A0A0G2K4B6	A0A0G2K4B6
A0A0G2K4C0	A0A0G2K4C0
A0A0G2K4D9	A0A0G2K4D9
A0A0G2K4F6	A0A0G2K4F6
A0A0G2K4G0	A0A0G2K4G0
A0A0G2K4I9	A0A0G2K4I9
A0A0G2K4P8	A0A0G2K4P8
A0A0G2K4Q5	A0A0G2K4Q5
A0A0G2K4Q8	A0A0G2K4Q8
A0A0G2K4S7	A0A0G2K4S7
A0A0G2K4T6	A0A0G2K4T6
A0A0G2K4Z7	A0A0G2K4Z7
A0A0G2K516	A0A0G2K516
A0A0G2K528	A0A0G2K528
A0A0G2K548	A0A0G2K548
A0A0G2K5A0	A0A0G2K5A0
A0A0G2K5A7	A0A0G2K5A7
A0A0G2K5B0	A0A0G2K5B0
A0A0G2K5C9	A0A0G2K5C9
A0A0G2K5E6	A0A0G2K5E6
A0A0G2K5I7	A0A0G2K5I7
A0A0G2K5K7	A0A0G2K5K7
A0A0G2K5L1	A0A0G2K5L1
A0A0G2K5L2	A0A0G2K5L2
