pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url
452110	https://pubchem.ncbi.nlm.nih.gov/compound/452110	730	https://drugcentral.org/drugcard/730
452306	https://pubchem.ncbi.nlm.nih.gov/compound/452306	3417	https://drugcentral.org/drugcard/3417
452548	https://pubchem.ncbi.nlm.nih.gov/compound/452548	2590	https://drugcentral.org/drugcard/2590
45255840	https://pubchem.ncbi.nlm.nih.gov/compound/45255840	5226	https://drugcentral.org/drugcard/5226
4528	https://pubchem.ncbi.nlm.nih.gov/compound/4528	1958	https://drugcentral.org/drugcard/1958
45375808	https://pubchem.ncbi.nlm.nih.gov/compound/45375808	4811	https://drugcentral.org/drugcard/4811
4538	https://pubchem.ncbi.nlm.nih.gov/compound/4538	1966	https://drugcentral.org/drugcard/1966
4539	https://pubchem.ncbi.nlm.nih.gov/compound/4539	1967	https://drugcentral.org/drugcard/1967
4540	https://pubchem.ncbi.nlm.nih.gov/compound/4540	809	https://drugcentral.org/drugcard/809
454194	https://pubchem.ncbi.nlm.nih.gov/compound/454194	3635	https://drugcentral.org/drugcard/3635
454216	https://pubchem.ncbi.nlm.nih.gov/compound/454216	2805	https://drugcentral.org/drugcard/2805
4543	https://pubchem.ncbi.nlm.nih.gov/compound/4543	1971	https://drugcentral.org/drugcard/1971
45588096	https://pubchem.ncbi.nlm.nih.gov/compound/45588096	1123	https://drugcentral.org/drugcard/1123
456199	https://pubchem.ncbi.nlm.nih.gov/compound/456199	5344	https://drugcentral.org/drugcard/5344
456255	https://pubchem.ncbi.nlm.nih.gov/compound/456255	527	https://drugcentral.org/drugcard/527
4567	https://pubchem.ncbi.nlm.nih.gov/compound/4567	1976	https://drugcentral.org/drugcard/1976
457193	https://pubchem.ncbi.nlm.nih.gov/compound/457193	774	https://drugcentral.org/drugcard/774
457954	https://pubchem.ncbi.nlm.nih.gov/compound/457954	3605	https://drugcentral.org/drugcard/3605
4581	https://pubchem.ncbi.nlm.nih.gov/compound/4581	3396	https://drugcentral.org/drugcard/3396
4582	https://pubchem.ncbi.nlm.nih.gov/compound/4582	1979	https://drugcentral.org/drugcard/1979
4583	https://pubchem.ncbi.nlm.nih.gov/compound/4583	1981	https://drugcentral.org/drugcard/1981
4593	https://pubchem.ncbi.nlm.nih.gov/compound/4593	1987	https://drugcentral.org/drugcard/1987
4594	https://pubchem.ncbi.nlm.nih.gov/compound/4594	1990	https://drugcentral.org/drugcard/1990
4595	https://pubchem.ncbi.nlm.nih.gov/compound/4595	1992	https://drugcentral.org/drugcard/1992
460	https://pubchem.ncbi.nlm.nih.gov/compound/460	1334	https://drugcentral.org/drugcard/1334
4601	https://pubchem.ncbi.nlm.nih.gov/compound/4601	1999	https://drugcentral.org/drugcard/1999
4602	https://pubchem.ncbi.nlm.nih.gov/compound/4602	2000	https://drugcentral.org/drugcard/2000
4604	https://pubchem.ncbi.nlm.nih.gov/compound/4604	2002	https://drugcentral.org/drugcard/2002
460612	https://pubchem.ncbi.nlm.nih.gov/compound/460612	1678	https://drugcentral.org/drugcard/1678
4612	https://pubchem.ncbi.nlm.nih.gov/compound/4612	2009	https://drugcentral.org/drugcard/2009
461399	https://pubchem.ncbi.nlm.nih.gov/compound/461399	2449	https://drugcentral.org/drugcard/2449
4614	https://pubchem.ncbi.nlm.nih.gov/compound/4614	2013	https://drugcentral.org/drugcard/2013
4616	https://pubchem.ncbi.nlm.nih.gov/compound/4616	2015	https://drugcentral.org/drugcard/2015
4617	https://pubchem.ncbi.nlm.nih.gov/compound/4617	2016	https://drugcentral.org/drugcard/2016
46188928	https://pubchem.ncbi.nlm.nih.gov/compound/46188928	5305	https://drugcentral.org/drugcard/5305
4619	https://pubchem.ncbi.nlm.nih.gov/compound/4619	2018	https://drugcentral.org/drugcard/2018
46199646	https://pubchem.ncbi.nlm.nih.gov/compound/46199646	5276	https://drugcentral.org/drugcard/5276
46209133	https://pubchem.ncbi.nlm.nih.gov/compound/46209133	5054	https://drugcentral.org/drugcard/5054
4621	https://pubchem.ncbi.nlm.nih.gov/compound/4621	3407	https://drugcentral.org/drugcard/3407
46220502	https://pubchem.ncbi.nlm.nih.gov/compound/46220502	5259	https://drugcentral.org/drugcard/5259
4626	https://pubchem.ncbi.nlm.nih.gov/compound/4626	2021	https://drugcentral.org/drugcard/2021
4628	https://pubchem.ncbi.nlm.nih.gov/compound/4628	2024	https://drugcentral.org/drugcard/2024
4631	https://pubchem.ncbi.nlm.nih.gov/compound/4631	2027	https://drugcentral.org/drugcard/2027
4632	https://pubchem.ncbi.nlm.nih.gov/compound/4632	3412	https://drugcentral.org/drugcard/3412
4633	https://pubchem.ncbi.nlm.nih.gov/compound/4633	3016	https://drugcentral.org/drugcard/3016
4634	https://pubchem.ncbi.nlm.nih.gov/compound/4634	2028	https://drugcentral.org/drugcard/2028
4636	https://pubchem.ncbi.nlm.nih.gov/compound/4636	2032	https://drugcentral.org/drugcard/2032
4640	https://pubchem.ncbi.nlm.nih.gov/compound/4640	2035	https://drugcentral.org/drugcard/2035
4641	https://pubchem.ncbi.nlm.nih.gov/compound/4641	2036	https://drugcentral.org/drugcard/2036
4642	https://pubchem.ncbi.nlm.nih.gov/compound/4642	2026	https://drugcentral.org/drugcard/2026
464205	https://pubchem.ncbi.nlm.nih.gov/compound/464205	2592	https://drugcentral.org/drugcard/2592
46424	https://pubchem.ncbi.nlm.nih.gov/compound/46424	3206	https://drugcentral.org/drugcard/3206
4649	https://pubchem.ncbi.nlm.nih.gov/compound/4649	2050	https://drugcentral.org/drugcard/2050
4655	https://pubchem.ncbi.nlm.nih.gov/compound/4655	3463	https://drugcentral.org/drugcard/3463
4659569	https://pubchem.ncbi.nlm.nih.gov/compound/4659569	2697	https://drugcentral.org/drugcard/2697
4671	https://pubchem.ncbi.nlm.nih.gov/compound/4671	2045	https://drugcentral.org/drugcard/2045
4674	https://pubchem.ncbi.nlm.nih.gov/compound/4674	2048	https://drugcentral.org/drugcard/2048
4679	https://pubchem.ncbi.nlm.nih.gov/compound/4679	2054	https://drugcentral.org/drugcard/2054
4680	https://pubchem.ncbi.nlm.nih.gov/compound/4680	2056	https://drugcentral.org/drugcard/2056
468595	https://pubchem.ncbi.nlm.nih.gov/compound/468595	3483	https://drugcentral.org/drugcard/3483
46871657	https://pubchem.ncbi.nlm.nih.gov/compound/46871657	5461	https://drugcentral.org/drugcard/5461
46871657	https://pubchem.ncbi.nlm.nih.gov/compound/46871657	5462	https://drugcentral.org/drugcard/5462
4688	https://pubchem.ncbi.nlm.nih.gov/compound/4688	2065	https://drugcentral.org/drugcard/2065
46908929	https://pubchem.ncbi.nlm.nih.gov/compound/46908929	4892	https://drugcentral.org/drugcard/4892
470999	https://pubchem.ncbi.nlm.nih.gov/compound/470999	855	https://drugcentral.org/drugcard/855
472335	https://pubchem.ncbi.nlm.nih.gov/compound/472335	2411	https://drugcentral.org/drugcard/2411
47319	https://pubchem.ncbi.nlm.nih.gov/compound/47319	259	https://drugcentral.org/drugcard/259
4735	https://pubchem.ncbi.nlm.nih.gov/compound/4735	2090	https://drugcentral.org/drugcard/2090
4736	https://pubchem.ncbi.nlm.nih.gov/compound/4736	3424	https://drugcentral.org/drugcard/3424
4737	https://pubchem.ncbi.nlm.nih.gov/compound/4737	2095	https://drugcentral.org/drugcard/2095
4740	https://pubchem.ncbi.nlm.nih.gov/compound/4740	2099	https://drugcentral.org/drugcard/2099
4744	https://pubchem.ncbi.nlm.nih.gov/compound/4744	2100	https://drugcentral.org/drugcard/2100
4746	https://pubchem.ncbi.nlm.nih.gov/compound/4746	2106	https://drugcentral.org/drugcard/2106
4747	https://pubchem.ncbi.nlm.nih.gov/compound/4747	2107	https://drugcentral.org/drugcard/2107
47472	https://pubchem.ncbi.nlm.nih.gov/compound/47472	450	https://drugcentral.org/drugcard/450
4748	https://pubchem.ncbi.nlm.nih.gov/compound/4748	2113	https://drugcentral.org/drugcard/2113
47499	https://pubchem.ncbi.nlm.nih.gov/compound/47499	1851	https://drugcentral.org/drugcard/1851
47510	https://pubchem.ncbi.nlm.nih.gov/compound/47510	1578	https://drugcentral.org/drugcard/1578
47528	https://pubchem.ncbi.nlm.nih.gov/compound/47528	1919	https://drugcentral.org/drugcard/1919
4753	https://pubchem.ncbi.nlm.nih.gov/compound/4753	2114	https://drugcentral.org/drugcard/2114
47530	https://pubchem.ncbi.nlm.nih.gov/compound/47530	2773	https://drugcentral.org/drugcard/2773
4754	https://pubchem.ncbi.nlm.nih.gov/compound/4754	2115	https://drugcentral.org/drugcard/2115
